N,Año,Nombre_Mes,Mes,Dia,Mes-Dia,Fecha 2,Fecha,Luz
104,2023,Ene,1,1,Ene-14,2023-Ene-14,14/01/2023,475
103,2023,Ene,1,2,Ene-28,2023-Ene-28,28/01/2023,354
102,2023,Feb,2,3,Feb-4,2023-Feb-4,4/02/2023,127
101,2023,Feb,2,4,Feb-11,2023-Feb-11,11/02/2023,781
100,2023,Feb,2,5,Feb-18,2023-Feb-18,18/02/2023,824
99,2023,Abr,4,6,Abr-22,2023-Abr-22,22/04/2023,858
98,2023,Abr,4,7,Abr-29,2023-Abr-29,29/04/2023,802
97,2023,May,5,8,May-6,2023-May-6,6/05/2023,829
96,2023,May,5,9,May-13,2023-May-13,13/05/2023,715
95,2023,May,5,10,May-20,2023-May-20,20/05/2023,862
94,2023,May,5,11,May-27,2023-May-27,27/05/2023,1083
93,2023,Jun,6,12,Jun-10,2023-Jun-10,10/06/2023,694
92,2023,Jun,6,13,Jun-17,2023-Jun-17,17/06/2023,709
91,2023,Jun,6,14,Jun-24,2023-Jun-24,24/06/2023,800
90,2023,Jul,7,15,Jul-1,2023-Jul-1,1/07/2023,808
89,2023,Jul,7,16,Jul-8,2023-Jul-8,8/07/2023,780
88,2023,Jul,7,17,Jul-15,2023-Jul-15,15/07/2023,614
87,2023,Jul,7,18,Jul-22,2023-Jul-22,22/07/2023,922
86,2023,Jul,7,19,Jul-29,2023-Jul-29,29/07/2023,659
85,2023,Ago,8,20,Ago-5,2023-Ago-5,5/08/2023,636
84,2023,Ago,8,21,Ago-12,2023-Ago-12,12/08/2023,699
83,2023,Ago,8,22,Ago-19,2023-Ago-19,19/08/2023,689
82,2023,Ago,8,23,Ago-26,2023-Ago-26,26/08/2023,567
81,2023,Set,9,24,Set-16,2023-Set-16,16/09/2023,551
80,2023,Set,9,25,Set-23,2023-Set-23,23/09/2023,574
79,2023,Set,9,26,Set-30,2023-Set-30,30/09/2023,556
78,2023,Oct,10,27,Oct-7,2023-Oct-7,7/10/2023,1257
77,2023,Oct,10,28,Oct-14,2023-Oct-14,14/10/2023,631
76,2023,Oct,10,29,Oct-21,2023-Oct-21,21/10/2023,585
75,2023,Oct,10,30,Oct-28,2023-Oct-28,28/10/2023,568
74,2023,Nov,11,31,Nov-4,2023-Nov-4,4/11/2023,658
73,2023,Nov,11,32,Nov-18,2023-Nov-18,18/11/2023,650
72,2023,Dic,12,33,Dic-2,2023-Dic-2,2/12/2023,795
71,2024,Ene,1,34,Ene-6,2024-Ene-6,6/01/2024,665
70,2024,Ene,1,35,Ene-13,2024-Ene-13,13/01/2024,1988
69,2024,Ene,1,36,Ene-20,2024-Ene-20,20/01/2024,830
68,2024,Ene,1,37,Ene-27,2024-Ene-27,27/01/2024,968
67,2024,Feb,2,38,Feb-3,2024-Feb-3,3/02/2024,787
66,2024,Feb,2,39,Feb-10,2024-Feb-10,10/02/2024,793
65,2024,Feb,2,40,Feb-17,2024-Feb-17,17/02/2024,940
64,2024,Feb,2,41,Feb-24,2024-Feb-24,24/02/2024,973
63,2024,Mar,3,42,Mar-2,2024-Mar-2,2/03/2024,1754
62,2024,Mar,3,43,Mar-16,2024-Mar-16,16/03/2024,683
61,2024,Mar,3,44,Mar-23,2024-Mar-23,23/03/2024,784
60,2024,May,5,45,May-11,2024-May-11,11/05/2024,795
59,2024,May,5,46,May-18,2024-May-18,18/05/2024,746
58,2024,May,5,47,May-25,2024-May-25,25/05/2024,860
57,2024,Jun,6,48,Jun-1,2024-Jun-1,1/06/2024,629
56,2024,Jun,6,49,Jun-8,2024-Jun-8,8/06/2024,640
55,2024,Jun,6,50,Jun-15,2024-Jun-15,15/06/2024,708
54,2024,Jun,6,51,Jun-22,2024-Jun-22,22/06/2024,643
53,2024,Jul,7,52,Jul-13,2024-Jul-13,13/07/2024,950
52,2024,Jul,7,53,Jul-27,2024-Jul-27,27/07/2024,591
51,2024,Ago,8,54,Ago-17,2024-Ago-17,17/08/2024,982
50,2024,Ago,8,55,Ago-24,2024-Ago-24,24/08/2024,1030
49,2024,Ago,8,56,Ago-31,2024-Ago-31,31/08/2024,859
48,2024,Set,9,57,Set-14,2024-Set-14,14/09/2024,1052
47,2024,Set,9,58,Set-21,2024-Set-21,21/09/2024,1169
46,2024,Set,9,59,Set-28,2024-Set-28,28/09/2024,1038
45,2024,Oct,10,60,Oct-5,2024-Oct-5,5/10/2024,1049
44,2024,Oct,10,61,Oct-12,2024-Oct-12,12/10/2024,869
43,2024,Oct,10,62,Oct-19,2024-Oct-19,19/10/2024,703
42,2024,Nov,11,63,Nov-2,2024-Nov-2,2/11/2024,648
41,2024,Nov,11,64,Nov-9,2024-Nov-9,9/11/2024,1004
40,2024,Nov,11,65,Nov-16,2024-Nov-16,16/11/2024,1007
39,2024,Nov,11,66,Nov-23,2024-Nov-23,23/11/2024,982
38,2024,Dic,12,67,Dic-7,2024-Dic-7,7/12/2024,336
37,2024,Dic,12,68,Dic-14,2024-Dic-14,14/12/2024,597
36,2024,Dic,12,69,Dic-21,2024-Dic-21,21/12/2024,990
35,2024,Dic,12,70,Dic-28,2024-Dic-28,28/12/2024,1009
34,2025,Ene,1,71,Ene-4,2025-Ene-4,4/01/2025,1015
33,2025,Ene,1,72,Ene-11,2025-Ene-11,11/01/2025,1147
32,2025,Ene,1,73,Ene-18,2025-Ene-18,18/01/2025,1398
31,2025,Ene,1,74,Ene-25,2025-Ene-25,25/01/2025,1218
30,2025,Feb,2,75,Feb-1,2025-Feb-1,1/02/2025,1245
29,2025,Feb,2,76,Feb-8,2025-Feb-8,8/02/2025,1164
28,2025,Feb,2,77,Feb-15,2025-Feb-15,15/02/2025,613
27,2025,Feb,2,78,Feb-22,2025-Feb-22,22/02/2025,644
26,2025,Mar,3,79,Mar-1,2025-Mar-1,1/03/2025,1012
25,2025,Mar,3,80,Mar-22,2025-Mar-22,22/03/2025,950
24,2025,Mar,3,81,Mar-29,2025-Mar-29,29/03/2025,1099
23,2025,Abr,4,82,Abr-5,2025-Abr-5,5/04/2025,1046
22,2025,Abr,4,83,Abr-12,2025-Abr-12,12/04/2025,529
21,2025,Abr,4,84,Abr-19,2025-Abr-19,19/04/2025,475
20,2025,Abr,4,85,Abr-26,2025-Abr-26,26/04/2025,602
19,2025,May,5,86,May-3,2025-May-3,3/05/2025,1056
18,2025,May,5,87,May-10,2025-May-10,10/05/2025,1144
17,2025,May,5,88,May-17,2025-May-17,17/05/2025,1142
16,2025,May,5,89,May-24,2025-May-24,24/05/2025,1337
15,2025,May,5,90,May-31,2025-May-31,31/05/2025,1067
14,2025,Jun,6,91,Jun-7,2025-Jun-7,7/06/2025,782
13,2025,Jun,6,92,Jun-14,2025-Jun-14,14/06/2025,1098
12,2025,Jun,6,93,Jun-21,2025-Jun-21,21/06/2025,999
11,2025,Jun,6,94,Jun-28,2025-Jun-28,28/06/2025,1271
10,2025,Jul,7,95,Jul-5,2025-Jul-5,5/07/2025,877
9,2025,Jul,7,96,Jul-12,2025-Jul-12,12/07/2025,1208
8,2025,Jul,7,97,Jul-19,2025-Jul-19,19/07/2025,519
7,2025,Jul,7,98,Jul-26,2025-Jul-26,26/07/2025,1294
6,2025,Ago,8,99,Ago-2,2025-Ago-2,2/08/2025,1253
5,2025,Ago,8,100,Ago-9,2025-Ago-9,9/08/2025,1204
4,2025,Ago,8,101,Ago-16,2025-Ago-16,16/08/2025,1280
3,2025,Ago,8,102,Ago-23,2025-Ago-23,23/08/2025,1113
2,2025,Ago,8,103,Ago-30,2025-Ago-30,30/08/2025,1114
1,2025,Set,9,104,Set-6,2025-Set-6,6/09/2025,1114

